model,date,release_time,kind,objective_yuan,residual,milp,mip_gap,latest_source_date,scenario_count
Q2,2025-08-23,00:00,selected,48264.677946815806,2.1827872842550278e-11,False,0.0,2025-08-19,8
Q2,2025-08-24,00:00,selected,72350.45758129701,4.3655745685100555e-11,False,0.0,2025-08-19,8
Q2,2025-08-25,00:00,selected,72691.78559029473,3.637978807091713e-11,False,0.0,2025-08-19,8
Q2,2025-08-26,00:00,selected,72580.50462657405,3.410605131648481e-11,False,0.0,2025-08-25,8
Q2,2025-08-27,00:00,selected,72982.2786363987,2.9103830456733704e-11,False,0.0,2025-08-25,8
Q2,2025-08-28,00:00,selected,72816.80611912934,3.637978807091713e-11,False,0.0,2025-08-25,8
Q2,2025-08-29,00:00,selected,46581.870875249966,1.693933882052079e-11,False,0.0,2025-08-28,8
Q2,2025-08-30,00:00,selected,46418.479083339975,7.617018127348274e-12,False,0.0,2025-08-28,8
Q2,2025-08-31,00:00,selected,70970.02552040733,1.4551915228366852e-11,False,0.0,2025-08-28,8
Q2,2025-09-01,00:00,selected,69202.67566853999,2.091837814077735e-11,False,0.0,2025-08-28,8
Q2,2025-09-02,00:00,selected,67453.45078089922,1.4551915228366852e-11,False,0.0,2025-09-01,8
Q2,2025-09-03,00:00,selected,65105.67121396515,2.9103830456733704e-11,False,0.0,2025-09-01,8
Q2,2025-09-04,00:00,selected,63825.10258176591,9.322320693172514e-12,False,0.0,2025-09-01,8
Q2,2025-09-05,00:00,selected,40055.26303137437,1.4551915228366852e-11,False,0.0,2025-09-01,8
Q2,2025-09-06,00:00,selected,39843.34687262586,7.275957614183426e-12,False,0.0,2025-09-05,8
Q2,2025-09-07,00:00,selected,61122.50136789745,2.1827872842550278e-11,False,0.0,2025-09-06,8
Q2,2025-09-08,00:00,selected,61102.91687687481,1.1641532182693481e-10,False,0.0,2025-09-06,8
Q2,2025-09-09,00:00,selected,60713.503858348515,1.4551915228366852e-11,False,0.0,2025-09-08,8
Q2,2025-09-10,00:00,selected,61174.135810369626,2.1827872842550278e-11,False,0.0,2025-09-08,8
Q2,2025-09-11,00:00,selected,60806.28265394852,1.4551915228366852e-11,False,0.0,2025-09-10,8
Q2,2025-09-12,00:00,selected,39684.16584751115,7.275957614183426e-12,False,0.0,2025-09-10,8
Q2,2025-09-13,00:00,selected,39611.755029945285,1.4551915228366852e-11,False,0.0,2025-09-10,8
Q2,2025-09-14,00:00,selected,59309.30454786323,2.1827872842550278e-11,False,0.0,2025-09-10,8
Q2,2025-09-15,00:00,selected,60376.12704715222,1.4551915228366852e-11,False,0.0,2025-09-10,8
Q2,2025-09-16,00:00,selected,59717.736845287254,7.275957614183426e-12,False,0.0,2025-09-10,8
Q2,2025-09-17,00:00,selected,61479.79902311498,2.9103830456733704e-11,False,0.0,2025-09-10,8
Q2,2025-09-18,00:00,selected,60263.224305826356,3.637978807091713e-11,False,0.0,2025-09-10,8
Q2,2025-09-19,00:00,selected,40175.77557045482,2.1827872842550278e-11,False,0.0,2025-09-10,8
Q2,2025-09-20,00:00,selected,40117.02463087159,1.4551915228366852e-11,False,0.0,2025-09-10,8
Q2,2025-09-21,00:00,selected,60069.603189101035,7.275957614183426e-12,False,0.0,2025-09-10,8
Q2,2025-09-22,00:00,selected,60228.50656865084,2.1827872842550278e-11,False,0.0,2025-09-10,8
Q2,2025-09-23,00:00,selected,58975.43856888599,2.1827872842550278e-11,False,0.0,2025-09-20,8
Q2,2025-09-24,00:00,selected,60724.62445206575,1.4551915228366852e-11,False,0.0,2025-09-10,8
Q2,2025-09-25,00:00,selected,59526.720391547286,2.1827872842550278e-11,False,0.0,2025-09-10,8
Q2,2025-09-26,00:00,selected,39273.42982021832,1.4551915228366852e-11,False,0.0,2025-09-10,8
Q2,2025-09-27,00:00,selected,38961.983152438064,2.546585164964199e-11,False,0.0,2025-09-10,8
Q2,2025-09-28,00:00,selected,58906.06523452204,3.637978807091713e-11,False,0.0,2025-09-10,8
Q2,2025-09-29,00:00,selected,59134.07818260752,1.8189894035458565e-10,False,0.0,2025-09-10,8
Q2,2025-09-30,00:00,selected,58847.23111498305,2.9103830456733704e-11,False,0.0,2025-09-10,8
Q2,2025-10-01,00:00,selected,60202.41556602705,8.458300726488233e-11,False,0.0,2025-09-10,8
Q2,2025-10-02,00:00,selected,58008.43196792204,2.6204816094832495e-11,False,0.0,2025-09-10,8
Q2,2025-10-03,00:00,selected,36395.1484330041,3.637978807091713e-12,False,0.0,2025-10-02,8
Q2,2025-10-04,00:00,selected,36423.447306890266,1.8189894035458565e-11,False,0.0,2025-10-02,8
Q2,2025-10-05,00:00,selected,56783.79218772424,4.3655745685100555e-11,False,0.0,2025-10-02,8
Q2,2025-10-06,00:00,selected,55207.25855835093,1.4551915228366852e-11,False,0.0,2025-10-02,8
Q2,2025-10-07,00:00,selected,51772.4485039336,1.9667822925839573e-11,False,0.0,2025-10-05,8
Q2,2025-10-08,00:00,selected,52102.03504004791,2.1827872842550278e-11,False,0.0,2025-10-05,8
Q2,2025-10-09,00:00,selected,51458.916882945385,2.1827872842550278e-11,False,0.0,2025-10-05,8
Q2,2025-10-10,00:00,selected,33281.51486295414,7.673861546209082e-12,False,0.0,2025-10-05,8
Q2,2025-10-11,00:00,selected,33056.288827926255,1.5006662579253316e-11,False,0.0,2025-10-10,8
Q2,2025-10-12,00:00,selected,51869.94927094585,2.1827872842550278e-11,False,0.0,2025-10-10,8
Q2,2025-10-13,00:00,selected,51222.393598055416,1.4551915228366852e-11,False,0.0,2025-10-10,8
Q2,2025-10-14,00:00,selected,51080.96062406562,4.3655745685100555e-11,False,0.0,2025-10-10,8
Q2,2025-10-15,00:00,selected,51368.530713976106,3.637978807091713e-11,False,0.0,2025-10-10,8
Q2,2025-10-16,00:00,selected,50765.41816086353,1.4551915228366852e-11,False,0.0,2025-10-10,8
Q2,2025-10-17,00:00,selected,33738.686400324565,9.43600753089413e-12,False,0.0,2025-10-16,8
Q2,2025-10-18,00:00,selected,34026.481532478916,6.565414878423326e-12,False,0.0,2025-10-16,8
Q2,2025-10-19,00:00,selected,56940.922493286715,1.4551915228366852e-11,False,0.0,2025-10-16,8
Q2,2025-10-20,00:00,selected,57608.71606400815,1.4551915228366852e-11,False,0.0,2025-10-16,8
