model,date,lower_coverage,interval_coverage,average_band_width_kwh,calibration_days
Q4-3,2025-02-28,0.9652777777777778,0.9652777777777778,233.20526530511063,26
Q4-3,2025-03-01,0.6736111111111112,0.6736111111111112,232.56875341732717,26
Q4-3,2025-03-02,1.0,0.9791666666666666,240.965057269457,27
Q4-3,2025-03-03,0.9722222222222222,0.8819444444444444,240.45218268445464,27
Q4-3,2025-03-04,1.0,0.9930555555555556,242.29970288532326,28
Q4-3,2025-03-05,1.0,0.9861111111111112,242.24824708167412,28
Q4-3,2025-03-06,0.9930555555555556,0.9791666666666666,243.1704462171085,28
Q4-3,2025-03-07,0.7708333333333334,0.7708333333333334,241.31894826573637,28
Q4-3,2025-03-08,0.9375,0.9375,242.8293267400395,28
Q4-3,2025-03-09,0.9444444444444444,0.9236111111111112,243.62826433633188,28
Q4-3,2025-03-10,1.0,0.9444444444444444,245.88886951443823,28
Q4-3,2025-03-11,1.0,0.9097222222222222,244.95812207420016,28
Q4-3,2025-03-12,1.0,0.9722222222222222,248.2806622438769,28
Q4-3,2025-03-13,1.0,0.9444444444444444,246.4725357063379,28
Q4-3,2025-03-14,0.7777777777777778,0.7777777777777778,246.20034604678938,28
Q4-3,2025-03-15,0.9305555555555556,0.9305555555555556,248.8211141417693,28
Q4-3,2025-03-16,1.0,0.9583333333333334,250.05670591789743,28
Q4-3,2025-03-17,1.0,0.9791666666666666,249.721871241529,28
Q4-3,2025-03-18,0.9652777777777778,0.9513888888888888,243.1180583869594,28
Q4-3,2025-03-19,1.0,0.9513888888888888,244.53011494332154,28
Q4-3,2025-03-20,1.0,0.9444444444444444,243.92898400335085,28
Q4-3,2025-03-21,0.8194444444444444,0.8194444444444444,243.1395074400076,28
Q4-3,2025-03-22,0.9236111111111112,0.9236111111111112,249.61719210992092,28
Q4-3,2025-03-23,0.9722222222222222,0.9375,249.16242924207825,28
Q4-3,2025-03-24,1.0,0.9722222222222222,249.00731376870056,28
Q4-3,2025-03-25,0.9930555555555556,0.9236111111111112,247.77588687244497,28
Q4-3,2025-03-26,1.0,0.9583333333333334,248.64053793246305,28
Q4-3,2025-03-27,1.0,0.9583333333333334,247.32779214980383,28
Q4-3,2025-03-28,0.8472222222222222,0.8472222222222222,245.68460604104945,28
Q4-3,2025-03-29,0.9583333333333334,0.9583333333333334,249.63708145358345,28
Q4-3,2025-03-30,1.0,0.8819444444444444,243.16886795701814,28
Q4-3,2025-03-31,1.0,0.8819444444444444,244.0301189965783,28
Q4-3,2025-04-01,1.0,0.9097222222222222,247.69790728763624,28
Q4-3,2025-04-02,1.0,0.9097222222222222,246.47131108340358,28
Q4-3,2025-04-03,1.0,0.9444444444444444,246.8792303037427,28
Q4-3,2025-04-04,1.0,1.0,247.1785849126994,28
Q4-3,2025-04-05,1.0,0.9583333333333334,243.66419174967848,28
Q4-3,2025-04-06,1.0,0.9583333333333334,243.93349145823356,28
Q4-3,2025-04-07,1.0,0.8055555555555556,243.2217502840145,28
Q4-3,2025-04-08,1.0,0.9513888888888888,249.01685357731154,28
Q4-3,2025-04-09,1.0,0.8888888888888888,243.10576650833252,28
Q4-3,2025-04-10,1.0,0.9166666666666666,244.23033087306067,28
Q4-3,2025-04-11,1.0,0.9861111111111112,244.18617207243935,28
Q4-3,2025-04-12,0.9861111111111112,0.9861111111111112,243.10652333283926,28
Q4-3,2025-04-13,1.0,0.9236111111111112,242.81509939086834,28
Q4-3,2025-04-14,0.9930555555555556,0.875,243.16363265027323,28
Q4-3,2025-04-15,1.0,0.8888888888888888,241.83131265098777,28
Q4-3,2025-04-16,1.0,0.9027777777777778,242.83482714115837,28
Q4-3,2025-04-17,1.0,0.8680555555555556,243.08436643887256,28
Q4-3,2025-04-18,0.9861111111111112,0.9791666666666666,245.1518560975143,28
